PLAYER_ID,PLAYER,TEAM,AGE,HEIGHT,HEIGHT_IN,WEIGHT,POSITION
1630639,A.J. Lawson,TOR,24.0,6-6,78,179,Guard
1631260,AJ Green,MIL,25.0,6-4,76,190,Guard
1642358,AJ Johnson,WAS,20.0,6-5,77,160,Guard
203932,Aaron Gordon,DEN,29.0,6-8,80,235,Forward
1628988,Aaron Holiday,HOU,28.0,6-0,72,185,Guard
1630174,Aaron Nesmith,IND,25.0,6-6,78,215,Guard-Forward
1630598,Aaron Wiggins,OKC,26.0,6-5,77,190,Guard
1641745,Adam Flagler,OKC,25.0,6-3,75,180,Guard
1641766,Adama Sanogo,CHI,23.0,6-9,81,245,Forward
1641737,Adem Bona,PHI,22.0,6-10,82,235,Forward
1642349,Ajay Mitchell,OKC,23.0,6-5,77,190,Guard
201143,Al Horford,BOS,39.0,6-9,81,240,Center-Forward
202692,Alec Burks,MIA,33.0,6-5,77,214,Guard
1627936,Alex Caruso,OKC,31.0,6-5,77,186,Guard
1642505,Alex Ducas,OKC,24.0,6-7,79,220,Guard
203458,Alex Len,LAL,32.0,7-0,84,250,Center
1642024,Alex Reese,PHI,26.0,6-9,81,245,Forward-Center
1642259,Alex Sarr,WAS,20.0,7-0,84,205,Center
1631214,Alondes Williams,LAC,26.0,6-4,76,210,Guard
1630578,Alperen Sengun,HOU,22.0,6-11,83,243,Center
1641708,Amen Thompson,HOU,22.0,6-7,79,200,Guard-Forward
1629599,Amir Coffey,LAC,28.0,6-7,79,210,Guard-Forward
203083,Andre Drummond,PHI,31.0,6-11,83,279,Center
1641748,Andre Jackson Jr.,MIL,23.0,6-6,78,209,Guard
1629614,Andrew Nembhard,IND,25.0,6-4,76,191,Guard-Forward
203952,Andrew Wiggins,MIA,30.0,6-7,79,197,Forward
1629014,Anfernee Simons,POR,26.0,6-3,75,200,Guard
1641710,Anthony Black,ORL,21.0,6-7,79,200,Guard
203076,Anthony Davis,DAL,32.0,6-10,82,253,Forward-Center
1630162,Anthony Edwards,MIN,23.0,6-4,76,225,Guard
1630264,Anthony Gill,WAS,32.0,6-8,80,230,Forward
1641817,Anton Watson,NYK,24.0,6-8,80,225,Forward
1641810,Antonio Reeves,NOP,24.0,6-5,77,205,Guard
1630574,Ariel Hukporti,NYK,23.0,6-11,83,246,Center
1642422,Armel Traore,LAL,22.0,6-9,81,245,Forward
1641709,Ausar Thompson,DET,22.0,6-6,78,205,Guard-Forward
1630559,Austin Reaves,LAL,27.0,6-5,77,197,Guard
1630245,Ayo Dosunmu,CHI,25.0,6-5,77,200,Guard
1628389,Bam Adebayo,MIA,27.0,6-9,81,255,Center-Forward
1631248,Baylor Scheierman,BOS,24.0,6-6,78,205,Guard
1641767,Ben Sheppard,IND,23.0,6-6,78,190,Guard
1627732,Ben Simmons,LAC,28.0,6-10,82,240,Guard-Forward
1631097,Bennedict Mathurin,IND,23.0,6-5,77,210,Guard-Forward
1641731,Bilal Coulibaly,WAS,20.0,6-8,80,195,Guard
202687,Bismack Biyombo,SAS,32.0,6-8,80,255,Center
1631104,Blake Wesley,SAS,22.0,6-3,75,185,Guard
1626171,Bobby Portis,MIL,30.0,6-10,82,250,Forward
1641752,Bobi Klintman,DET,22.0,6-9,81,225,Forward
203992,Bogdan Bogdanović,LAC,32.0,6-5,77,225,Guard
1629626,Bol Bol,PHX,25.0,7-3,87,220,Center-Forward
1630538,Bones Hyland,MIN,24.0,6-2,74,169,Guard
203078,Bradley Beal,PHX,32.0,6-4,76,207,Guard
1642382,Branden Carlson,OKC,26.0,7-0,84,220,Center
1641764,Brandin Podziemski,GSW,22.0,6-4,76,205,Guard
1630527,Brandon Boston,NOP,23.0,6-6,78,188,Guard
1629634,Brandon Clarke,MEM,28.0,6-8,80,215,Forward
1627742,Brandon Ingram,TOR,27.0,6-8,80,190,Forward
1641706,Brandon Miller,CHA,22.0,6-7,79,200,Forward
1630314,Brandon Williams,DAL,25.0,6-1,73,190,Guard
1630296,Braxton Key,GSW,28.0,6-8,80,225,Forward
1641729,Brice Sensabaugh,UTA,21.0,6-5,77,235,Forward
1642355,Bronny James,LAL,20.0,6-3,75,210,Guard
201572,Brook Lopez,MIL,37.0,7-1,85,282,Center
1628971,Bruce Brown,NOP,28.0,6-4,76,202,Guard-Forward
1628981,Bruno Fernando,TOR,26.0,6-9,81,240,Forward-Center
1631121,Bryce McGowens,POR,22.0,6-6,78,190,Guard
1642267,Bub Carrington,WAS,19.0,6-4,76,190,Guard
1627741,Buddy Hield,GSW,32.0,6-4,76,220,Guard
203468,CJ McCollum,NOP,33.0,6-3,75,190,Guard
1630595,Cade Cunningham,DET,23.0,6-6,78,220,Guard
1631216,Caleb Houstan,ORL,22.0,6-8,80,205,Guard
1628997,Caleb Martin,DAL,29.0,6-5,77,205,Forward
1642353,Cam Christie,LAC,19.0,6-6,78,190,Guard
1629629,Cam Reddish,LAL,25.0,6-7,79,217,Forward-Guard
1642285,Cam Spencer,MEM,25.0,6-4,76,205,Guard
1630560,Cam Thomas,BKN,23.0,6-3,75,210,Guard
1641715,Cam Whitmore,HOU,20.0,6-7,79,230,Forward
1629661,Cameron Johnson,BKN,29.0,6-8,80,210,Forward
1626166,Cameron Payne,NYK,30.0,6-3,75,183,Guard
1627747,Caris LeVert,ATL,30.0,6-6,78,205,Guard
1641717,Cason Wallace,OKC,21.0,6-3,75,195,Guard
1629646,Charles Bassey,SAS,24.0,6-10,82,230,Center-Forward
1631096,Chet Holmgren,OKC,23.0,7-1,85,208,Center-Forward
1628449,Chris Boucher,TOR,32.0,6-9,81,200,Forward
1630537,Chris Duarte,CHI,28.0,6-5,77,190,Guard
1641753,Chris Livingston,MIL,21.0,6-6,78,220,Forward
101108,Chris Paul,SAS,40.0,6-0,72,175,Guard
1631128,Christian Braun,DEN,24.0,6-6,78,220,Guard
1631132,Christian Koloko,LAL,25.0,7-0,84,225,Center
